====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   m   m   x   x   x   y   y   y   y   r   r   p   p   p   n   r   e   e   s   
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   a   a   _   _   _   _   _   _   _   o   o   i   i   i   e   e   r   r   t   
              | k   t   s   s   s   s   s   s   s   s   s   s   2   2   2   3   3   3   3   t   t   e   e   e   x   a   r   r   a   
              |         k   k   k   k   k   k   k   k   k   k   _   _   _   _   _   _   _   _   _   c   c   c   t   d   o   o   r   
              |         _   _   _   _   _   _   _   _   _   _   0   0   0   0   0   0   0   1   1   e   e   e   _   y   r   r   t   
              |         7   7   7   7   7   7   7   7   s   s   _   _   _   _   _   _   _   _   _   _   _   _   p       _   _       
              |         _   _   _   _   _   _   _   _   e   e   2   1   0   3   2   1   0   0   0   t   t   t   i       s   b       
              |         0   0   0   0   0   0   0   0   l   l                               _   _   y   y   y   e       i   o       
              |         _   _   _   _   _   _   _   _   e   e                               1   0   p   p   p   c       d   t       
              |         7   6   5   4   3   2   1   0   c   c                                       e   e   e   e       e           
              |                                         t   t                                       _   _   _                       
              |                                         _   _                                       2   2   2                       
              |                                         1   1                                       _   _   _                       
              |                                         _   _                                       0   0   0                       
              |                                         0   0                                       _   _   _                       
              |                                         _   _                                       2   1   0                       
              |                                         1   0                                                                       
====================================================================================================================================
          0.0 | 1   1   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   x   0   0   0  
          0.0 | 1   1   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
         10.0 | 0   1   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
         20.0 | 1   1   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
         30.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
         40.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
         50.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
