================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | a   a   a   a   a   a   a   d   d   d   d 
 in 1e-09 sec | d   d   d   d   d   d   d   a   a   a   a 
              | d   d   d   d   d   d   d   t   t   t   t 
              | r   r   r   r   r   r   r   a   a   a   a 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 6   6   6   6   6   6   6   3   3   3   3 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 0   0   0   0   0   0   0   0   0   0   0 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 6   5   4   3   2   1   0   3   2   1   0 
================================================================================
          0.0 | 0   0   0   0   0   0   0   0   0   0   0
        100.0 | 0   0   0   0   0   0   1   0   0   0   0
        101.6 | 0   0   0   0   0   0   1   0   0   0   1
        200.0 | 1   1   0   1   0   0   1   0   0   0   1
        200.2 | 1   1   0   1   0   0   1   0   1   0   1
        200.5 | 1   1   0   1   0   0   1   0   1   0   0
        200.8 | 1   1   0   1   0   0   1   0   1   0   1
        201.5 | 1   1   0   1   0   0   1   0   0   0   1
        300.0 | 1   0   0   0   1   1   1   0   0   0   1
        301.9 | 1   0   0   0   1   1   1   0   1   0   1
        302.2 | 1   0   0   0   1   1   1   1   1   0   1
        302.6 | 1   0   0   0   1   1   1   1   0   0   1
        400.0 | 0   1   0   1   1   0   1   1   0   0   1
        400.4 | 0   1   0   1   1   0   1   1   1   0   1
        400.5 | 0   1   0   1   1   0   1   0   1   0   1
        400.6 | 0   1   0   1   1   0   1   1   1   0   1
        401.8 | 0   1   0   1   1   0   1   1   1   0   0
        402.4 | 0   1   0   1   1   0   1   1   1   0   1
        402.7 | 0   1   0   1   1   0   1   0   1   0   1
        500.0 | 0   0   1   0   0   1   1   0   1   0   1
        502.2 | 0   0   1   0   0   1   1   0   1   1   1
        600.0 | 1   0   0   0   1   1   1   0   1   1   1
        600.5 | 1   0   0   0   1   1   1   0   1   1   1
        601.4 | 1   0   0   0   1   1   1   1   1   1   1
        602.2 | 1   0   0   0   1   1   1   1   0   0   1
        700.0 | 0   0   1   0   1   1   1   1   0   0   1
        700.4 | 0   0   1   0   1   1   1   1   1   0   1
        700.5 | 0   0   1   0   1   1   1   0   1   0   1
        700.6 | 0   0   1   0   1   1   1   1   1   0   1
        700.9 | 0   0   1   0   1   1   1   1   1   1   1
        701.6 | 0   0   1   0   1   1   1   1   1   1   0
        800.0 | 1   0   0   0   0   0   0   1   1   1   0
        800.2 | 1   0   0   0   0   0   0   1   1   1   1
        800.5 | 1   0   0   0   0   0   0   1   0   0   1
        801.2 | 1   0   0   0   0   0   0   1   0   1   1
        801.5 | 1   0   0   0   0   0   0   1   1   1   1
        802.0 | 1   0   0   0   0   0   0   1   1   1   0
        802.1 | 1   0   0   0   0   0   0   0   1   1   0
        803.0 | 1   0   0   0   0   0   0   0   0   1   0
        803.1 | 1   0   0   0   0   0   0   0   0   0   0
        899.9 | 1   0   0   0   0   0   0   0   0   0   0
================================================================================
  network : Rom                                                   nodes : 2149  
================================================================================
