====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
 in 1e-09 sec | l   s   u   u   u   u   u   u   u   u   u   u   u   u   u   e   e   e   e   h   h   h   r   r   r   l   l   r   r   
              | k   t   t   t   t   t   t   t   t   t   t   t   t   t   t   w   x   x   x   e   e   e   a   a   a   e   e   a   a   
              |         _   _   _   _   _   _   _   _   _   _   _   _   _   _   t   t   t   c   c   c   w   w   w   a   a   w   w   
              |         p   p   p   n   x   x   x   y   y   y   y   r   r   p   _   _   _   k   k   k   _   _   _   r   r   _   _   
              |         i   i   i   e   _   _   _   _   _   _   _   o   o   i   p   p   p   _   _   _   e   e   e   _   _   s   s   
              |         e   e   e   x   2   2   2   3   3   3   3   t   t   e   i   i   i   e   s   r   r   r   r   s   s   c   c   
              |         c   c   c   t   _   _   _   _   _   _   _   _   _   c   e   e   e   m   t   e   a   a   a   h   h   o   o   
              |         e   e   e   _   0   0   0   0   0   0   0   1   1   e   c   c   c   p   a   a   s   s   s   i   i   r   r   
              |         _   _   _   p   _   _   _   _   _   _   _   _   _       e   e   e   t   r   d   e   e   e   f   f   e   e   
              |         t   t   t   i   2   1   0   3   2   1   0   0   0       _   _   _   y   t   y   _   _   _   t   t   _   _   
              |         y   y   y   e                               _   _       2   2   2               d   s   r   _   _   d   r   
              |         p   p   p   c                               1   0       _   _   _               r   t   e   s   r   r   e   
              |         e   e   e   e                                           0   0   0               a   a   a   t   e   a   a   
              |         _   _   _                                               _   _   _               w   r   d   a   a   w   d   
              |         2   2   2                                               2   1   0                   t   y   r   d       y   
              |         _   _   _                                                                                   t   y           
              |         0   0   0                                                                                                   
              |         _   _   _                                                                                                   
              |         2   1   0                                                                                                   
====================================================================================================================================
          0.0 | 1   1   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   0   x   x   0   x   0   x   0  
          0.0 | 1   1   0   1   0   0   1   0   1   1   1   0   1   0   1   0   x   x   x   x   0   0   0   0   0   0   0   0   0  
         80.0 | 0   1   0   1   0   0   1   0   1   1   1   0   1   0   1   0   x   x   x   x   0   0   0   0   0   0   0   0   0  
        160.0 | 1   1   0   1   0   0   1   0   1   1   1   0   1   0   1   0   x   x   x   x   0   0   0   0   0   0   0   0   0  
        167.1 | 1   1   0   1   0   0   1   0   1   1   1   0   1   0   1   0   x   x   x   x   0   0   0   0   0   0   0   0   0  
        168.0 | 1   1   0   1   0   0   1   0   1   1   1   0   1   0   1   0   x   x   x   x   0   0   0   0   0   0   0   0   0  
        240.0 | 0   1   0   1   0   0   1   0   1   1   1   0   1   0   1   0   x   x   x   x   0   0   0   0   0   0   0   0   0  
        250.0 | 0   0   0   1   0   0   1   0   1   1   1   0   1   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        320.0 | 1   0   0   1   0   0   1   0   1   1   1   0   1   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        320.8 | 1   0   0   0   0   0   1   0   1   1   1   0   1   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        321.5 | 1   0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        321.6 | 1   0   0   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        321.9 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        322.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        322.3 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        323.8 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0  
        324.3 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0  
        400.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0  
        410.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0  
        480.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0  
        482.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
