================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   s   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   c   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   o   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   r   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   e   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   _   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   o   d   d   d   d   d   d   d   d       t   t 
              |         n   u   u   r   r   r   r   r   r   r   r       a   a 
              |             t   t   _   _   _   _   _   _   _   _       _   _ 
              |                     o   o   o   o   o   o   o   o       i   o 
              |                     u   u   u   u   u   u   u   u       n   u 
              |                     t   t   t   t   t   t   t   t           t 
              |                     _   _   _   _   _   _   _   _             
              |                     7   7   7   7   7   7   7   7             
              |                     _   _   _   _   _   _   _   _             
              |                     0   0   0   0   0   0   0   0             
              |                     _   _   _   _   _   _   _   _             
              |                     7   6   5   4   3   2   1   0             
================================================================================
          0.0 | 1   1   x   x   x   x   x   x   x   x   x   x   x   x   x   x
          0.0 | 1   1   x   0   0   0   1   1   1   1   1   0   1   0   x   0
         82.0 | 0   1   x   0   0   0   1   1   1   1   1   0   1   0   x   0
        164.0 | 1   1   x   0   0   0   1   1   1   1   1   0   1   0   x   0
        165.3 | 1   1   x   0   0   0   1   0   1   1   1   0   1   0   x   0
        165.4 | 1   1   x   0   0   0   0   0   1   1   1   0   1   0   x   0
        165.5 | 1   1   x   0   0   0   0   0   0   1   1   0   1   0   x   0
        165.6 | 1   1   x   0   0   0   0   0   0   0   0   0   0   0   x   0
        246.0 | 0   1   x   0   0   0   0   0   0   0   0   0   0   0   x   0
        287.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   0   x   0
        328.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
        410.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
        451.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1   0
