====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d       t   t 
              |         n   u   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r       a   a 
              |             t   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _       _   _ 
              |                 i   i   i   i   i   i   i   o   o   o   o   o   o   o   o       i   o 
              |                 n   n   n   n   n   n   n   u   u   u   u   u   u   u   u       n   u 
              |                 _   _   _   _   _   _   _   t   t   t   t   t   t   t   t           t 
              |                 6   6   6   6   6   6   6   _   _   _   _   _   _   _   _             
              |                 _   _   _   _   _   _   _   7   7   7   7   7   7   7   7             
              |                 0   0   0   0   0   0   0   _   _   _   _   _   _   _   _             
              |                 _   _   _   _   _   _   _   0   0   0   0   0   0   0   0             
              |                 6   5   4   3   2   1   0   _   _   _   _   _   _   _   _             
              |                                             7   6   5   4   3   2   1   0             
====================================================================================================================================
          0.0 | 1   1   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x
          0.0 | 1   1   x   0   x   x   x   x   x   x   x   0   1   1   0   1   1   0   0   1   x   x
         82.0 | 0   1   x   0   x   x   x   x   x   x   x   0   1   1   0   1   1   0   0   1   x   x
        123.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   1   x   x
        164.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   1   1   x
        246.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   1   1   x
        287.0 | 0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   1   1   x
        328.0 | 1   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   1   1   x
        329.9 | 1   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   x   1   x
        330.1 | 1   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0   1   0
        331.3 | 1   0   1   0   0   0   1   1   0   0   0   0   1   1   0   0   1   0   1   0   1   0
        331.4 | 1   0   1   0   0   0   1   1   0   0   0   0   0   1   0   0   1   0   1   0   1   0
        410.0 | 0   0   1   0   0   0   1   1   0   0   0   0   0   1   0   0   1   0   1   0   1   0
        451.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   1   0   0   1   0   1   0   1   0
        492.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   1   0   0   1   0   1   0   1   0
        493.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0   1   0
        493.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
        493.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0
        494.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   1   0
        574.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   1   0
        656.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0
        657.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   0   0
        658.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   0   0   0
        660.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   0   0
        661.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
        738.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
        820.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
        822.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   1   0   0
        823.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0   0
        823.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   1   0   0
        902.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   1   0   0
        984.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   1   1   0
        984.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   1   1   1
        985.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   1   1   1
        985.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   1   1   0
        985.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
       1066.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
       1148.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
       1149.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
       1149.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
       1152.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       1153.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
       1230.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
       1312.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
       1314.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   1   1   0
       1315.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   1   1   1
       1315.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   1   1   1
