================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   i   i   i   i   i   o   o   o   o   o   o   r 
 in 1e-09 sec | l   s   n   n   n   n   n   n   u   u   u   u   u   u   a 
              | k   t   v   v   v   v   v   v   t   t   t   t   t   t   n 
              |         _   _   _   _   _   _   p   p   p   p   p   p   d 
              |         i   i   i   i   i   i   u   u   u   u   u   u   o 
              |         n   n   n   n   n   n   t   t   t   t   t   t   m 
              |         p   p   p   p   p   p   _   _   _   _   _   _   _ 
              |         u   u   u   u   u   u   5   5   5   5   5   5   s 
              |         t   t   t   t   t   t   _   _   _   _   _   _   e 
              |         s   s   s   s   s   s   0   0   0   0   0   0   e 
              |         _   _   _   _   _   _   _   _   _   _   _   _   d 
              |         5   5   5   5   5   5   5   4   3   2   1   0     
              |         _   _   _   _   _   _                             
              |         0   0   0   0   0   0                             
              |         _   _   _   _   _   _                             
              |         5   4   3   2   1   0                             
================================================================================
          0.0 | 1   1   1   1   1   1   1   1   x   x   x   x   x   x   0
          0.0 | 1   1   1   1   1   1   1   1   1   0   0   0   0   0   0
         20.0 | 0   1   1   1   1   1   1   1   1   0   0   0   0   0   0
         40.0 | 1   1   1   1   1   1   1   1   1   0   0   0   0   0   0
         40.7 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
         60.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
         80.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        100.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        120.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        140.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        160.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        180.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        200.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        220.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        240.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        260.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        280.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        300.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        320.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        340.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        360.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        380.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        400.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        420.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        440.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        460.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        480.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        500.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        520.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        540.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        560.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        580.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        600.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        620.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        640.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        660.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        680.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        700.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        720.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        740.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        760.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        780.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        800.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        820.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        840.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        860.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        880.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        900.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        920.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        940.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        960.0 | 1   1   1   1   1   1   1   1   0   0   0   0   0   0   0
        980.0 | 0   1   1   1   1   1   1   1   0   0   0   0   0   0   0
       1000.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       1000.1 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1020.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1040.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1060.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1080.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1100.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1120.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1140.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1160.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1180.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1200.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1220.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1240.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1260.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1280.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1300.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1320.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1340.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1360.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1380.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1400.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1420.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1440.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1460.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1480.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1500.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1520.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1540.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1560.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1580.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1600.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1620.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1640.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1660.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1680.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1700.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1720.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1740.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1760.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1780.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1800.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1820.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1840.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1860.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1880.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1900.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1920.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1940.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1960.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1980.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       2000.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2020.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2040.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2060.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2080.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2100.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2120.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2140.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2160.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2180.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
