================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   o   o   o   o   o   o   o   o 
 in 1e-09 sec | l   s   n   u   u   u   u   u   u   u   u 
              | k   t   c   t   t   t   t   t   t   t   t 
              |         r   p   p   p   p   p   p   p   p 
              |         e   u   u   u   u   u   u   u   u 
              |         a   t   t   t   t   t   t   t   t 
              |         s   _   _   _   _   _   _   _   _ 
              |         e   7   7   7   7   7   7   7   7 
              |             _   _   _   _   _   _   _   _ 
              |             0   0   0   0   0   0   0   0 
              |             _   _   _   _   _   _   _   _ 
              |             7   6   5   4   3   2   1   0 
================================================================================
          0.0 | 1   1   0   x   x   x   x   x   x   x   x
          0.0 | 1   1   0   0   0   0   0   0   0   0   1
         82.0 | 0   1   0   0   0   0   0   0   0   0   1
        164.0 | 1   1   0   0   0   0   0   0   0   0   1
        165.5 | 1   1   0   0   0   0   0   0   0   0   0
        246.0 | 0   1   0   0   0   0   0   0   0   0   0
        250.0 | 0   0   1   0   0   0   0   0   0   0   0
        328.0 | 1   0   1   0   0   0   0   0   0   0   0
        329.6 | 1   0   1   0   0   0   0   0   0   0   1
        410.0 | 0   0   1   0   0   0   0   0   0   0   1
        492.0 | 1   0   1   0   0   0   0   0   0   0   1
        493.4 | 1   0   1   0   0   0   0   0   0   1   1
        574.0 | 0   0   1   0   0   0   0   0   0   1   1
        656.0 | 1   0   1   0   0   0   0   0   0   1   1
        738.0 | 0   0   1   0   0   0   0   0   0   1   1
        820.0 | 1   0   1   0   0   0   0   0   0   1   1
        821.3 | 1   0   1   0   0   0   0   0   0   0   1
        821.6 | 1   0   1   0   0   0   0   0   1   0   0
        821.8 | 1   0   1   0   0   0   0   0   1   1   1
        902.0 | 0   0   1   0   0   0   0   0   1   1   1
        984.0 | 1   0   1   0   0   0   0   0   1   1   1
       1066.0 | 0   0   1   0   0   0   0   0   1   1   1
       1148.0 | 1   0   1   0   0   0   0   0   1   1   1
       1150.0 | 1   0   0   0   0   0   0   0   1   1   1
       1230.0 | 0   0   0   0   0   0   0   0   1   1   1
       1250.0 | 0   0   1   0   0   0   0   0   1   1   1
       1312.0 | 1   0   1   0   0   0   0   0   1   1   1
       1350.0 | 1   0   0   0   0   0   0   0   1   1   1
       1394.0 | 0   0   0   0   0   0   0   0   1   1   1
       1476.0 | 1   0   0   0   0   0   0   0   1   1   1
       1558.0 | 0   0   0   0   0   0   0   0   1   1   1
       1640.0 | 1   0   0   0   0   0   0   0   1   1   1
       1722.0 | 0   0   0   0   0   0   0   0   1   1   1
       1804.0 | 1   0   0   0   0   0   0   0   1   1   1
       1886.0 | 0   0   0   0   0   0   0   0   1   1   1
       1968.0 | 1   0   0   0   0   0   0   0   1   1   1
       2050.0 | 0   0   0   0   0   0   0   0   1   1   1
       2132.0 | 1   0   0   0   0   0   0   0   1   1   1
       2214.0 | 0   0   0   0   0   0   0   0   1   1   1
       2296.0 | 1   0   0   0   0   0   0   0   1   1   1
       2378.0 | 0   0   0   0   0   0   0   0   1   1   1
       2460.0 | 1   0   0   0   0   0   0   0   1   1   1
       2542.0 | 0   0   0   0   0   0   0   0   1   1   1
       2624.0 | 1   0   0   0   0   0   0   0   1   1   1
       2706.0 | 0   0   0   0   0   0   0   0   1   1   1
       2788.0 | 1   0   0   0   0   0   0   0   1   1   1
       2870.0 | 0   0   0   0   0   0   0   0   1   1   1
       2952.0 | 1   0   0   0   0   0   0   0   1   1   1
       3034.0 | 0   0   0   0   0   0   0   0   1   1   1
       3116.0 | 1   0   0   0   0   0   0   0   1   1   1
       3198.0 | 0   0   0   0   0   0   0   0   1   1   1
       3280.0 | 1   0   0   0   0   0   0   0   1   1   1
       3362.0 | 0   0   0   0   0   0   0   0   1   1   1
       3444.0 | 1   0   0   0   0   0   0   0   1   1   1
       3526.0 | 0   0   0   0   0   0   0   0   1   1   1
       3608.0 | 1   0   0   0   0   0   0   0   1   1   1
       3690.0 | 0   0   0   0   0   0   0   0   1   1   1
       3772.0 | 1   0   0   0   0   0   0   0   1   1   1
       3854.0 | 0   0   0   0   0   0   0   0   1   1   1
       3936.0 | 1   0   0   0   0   0   0   0   1   1   1
       4018.0 | 0   0   0   0   0   0   0   0   1   1   1
       4100.0 | 1   0   0   0   0   0   0   0   1   1   1
       4182.0 | 0   0   0   0   0   0   0   0   1   1   1
       4264.0 | 1   0   0   0   0   0   0   0   1   1   1
       4346.0 | 0   0   0   0   0   0   0   0   1   1   1
       4428.0 | 1   0   0   0   0   0   0   0   1   1   1
       4510.0 | 0   0   0   0   0   0   0   0   1   1   1
       4592.0 | 1   0   0   0   0   0   0   0   1   1   1
       4674.0 | 0   0   0   0   0   0   0   0   1   1   1
       4756.0 | 1   0   0   0   0   0   0   0   1   1   1
       4838.0 | 0   0   0   0   0   0   0   0   1   1   1
       4920.0 | 1   0   0   0   0   0   0   0   1   1   1
       5002.0 | 0   0   0   0   0   0   0   0   1   1   1
       5084.0 | 1   0   0   0   0   0   0   0   1   1   1
       5166.0 | 0   0   0   0   0   0   0   0   1   1   1
       5248.0 | 1   0   0   0   0   0   0   0   1   1   1
       5330.0 | 0   0   0   0   0   0   0   0   1   1   1
       5412.0 | 1   0   0   0   0   0   0   0   1   1   1
       5494.0 | 0   0   0   0   0   0   0   0   1   1   1
       5576.0 | 1   0   0   0   0   0   0   0   1   1   1
       5658.0 | 0   0   0   0   0   0   0   0   1   1   1
       5740.0 | 1   0   0   0   0   0   0   0   1   1   1
       5822.0 | 0   0   0   0   0   0   0   0   1   1   1
       5904.0 | 1   0   0   0   0   0   0   0   1   1   1
       5986.0 | 0   0   0   0   0   0   0   0   1   1   1
       6068.0 | 1   0   0   0   0   0   0   0   1   1   1
       6150.0 | 0   0   0   0   0   0   0   0   1   1   1
       6232.0 | 1   0   0   0   0   0   0   0   1   1   1
       6314.0 | 0   0   0   0   0   0   0   0   1   1   1
       6396.0 | 1   0   0   0   0   0   0   0   1   1   1
       6478.0 | 0   0   0   0   0   0   0   0   1   1   1
       6560.0 | 1   0   0   0   0   0   0   0   1   1   1
       6642.0 | 0   0   0   0   0   0   0   0   1   1   1
       6724.0 | 1   0   0   0   0   0   0   0   1   1   1
       6806.0 | 0   0   0   0   0   0   0   0   1   1   1
       6888.0 | 1   0   0   0   0   0   0   0   1   1   1
       6970.0 | 0   0   0   0   0   0   0   0   1   1   1
       7052.0 | 1   0   0   0   0   0   0   0   1   1   1
       7134.0 | 0   0   0   0   0   0   0   0   1   1   1
       7216.0 | 1   0   0   0   0   0   0   0   1   1   1
       7298.0 | 0   0   0   0   0   0   0   0   1   1   1
       7380.0 | 1   0   0   0   0   0   0   0   1   1   1
       7462.0 | 0   0   0   0   0   0   0   0   1   1   1
       7544.0 | 1   0   0   0   0   0   0   0   1   1   1
       7626.0 | 0   0   0   0   0   0   0   0   1   1   1
       7708.0 | 1   0   0   0   0   0   0   0   1   1   1
       7790.0 | 0   0   0   0   0   0   0   0   1   1   1
       7872.0 | 1   0   0   0   0   0   0   0   1   1   1
       7954.0 | 0   0   0   0   0   0   0   0   1   1   1
       8036.0 | 1   0   0   0   0   0   0   0   1   1   1
       8118.0 | 0   0   0   0   0   0   0   0   1   1   1
       8200.0 | 1   0   0   0   0   0   0   0   1   1   1
       8282.0 | 0   0   0   0   0   0   0   0   1   1   1
       8364.0 | 1   0   0   0   0   0   0   0   1   1   1
       8446.0 | 0   0   0   0   0   0   0   0   1   1   1
       8528.0 | 1   0   0   0   0   0   0   0   1   1   1
       8610.0 | 0   0   0   0   0   0   0   0   1   1   1
       8692.0 | 1   0   0   0   0   0   0   0   1   1   1
       8774.0 | 0   0   0   0   0   0   0   0   1   1   1
       8856.0 | 1   0   0   0   0   0   0   0   1   1   1
       8938.0 | 0   0   0   0   0   0   0   0   1   1   1
       9020.0 | 1   0   0   0   0   0   0   0   1   1   1
       9102.0 | 0   0   0   0   0   0   0   0   1   1   1
       9184.0 | 1   0   0   0   0   0   0   0   1   1   1
       9266.0 | 0   0   0   0   0   0   0   0   1   1   1
       9348.0 | 1   0   0   0   0   0   0   0   1   1   1
       9430.0 | 0   0   0   0   0   0   0   0   1   1   1
       9512.0 | 1   0   0   0   0   0   0   0   1   1   1
       9594.0 | 0   0   0   0   0   0   0   0   1   1   1
       9676.0 | 1   0   0   0   0   0   0   0   1   1   1
       9758.0 | 0   0   0   0   0   0   0   0   1   1   1
       9840.0 | 1   0   0   0   0   0   0   0   1   1   1
       9921.9 | 1   0   0   0   0   0   0   0   1   1   1
================================================================================
  network : Log_score                                              nodes : 241  
================================================================================
