================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   b   n   o   o   o 
 in 1e-09 sec | l   s   u   e   u   u   u 
              | k   t   t   w   t   t   t 
              |         t   _   p   p   p 
              |         o   n   u   u   u 
              |         n   u   t   t   t 
              |         _   m   _   _   _ 
              |         s   b   2   2   2 
              |         e   e   _   _   _ 
              |         e   r   0   0   0 
              |         d       _   _   _ 
              |                 2   1   0 
================================================================================
          0.0 | 1   1   0   0   x   x   x
          0.0 | 1   1   0   0   1   0   0
         82.0 | 0   1   0   0   1   0   0
        164.0 | 1   1   0   0   1   0   0
        164.8 | 1   1   0   0   0   0   0
        246.0 | 0   1   0   0   0   0   0
        287.0 | 0   0   0   0   0   0   0
        328.0 | 1   0   0   0   0   0   0
        329.1 | 1   0   0   0   1   0   0
        410.0 | 0   0   0   0   1   0   0
        492.0 | 1   0   0   0   1   0   0
        493.4 | 1   0   0   0   1   1   0
        574.0 | 0   0   0   0   1   1   0
        656.0 | 1   0   0   0   1   1   0
        656.8 | 1   0   0   0   0   1   0
        657.1 | 1   0   0   0   0   1   1
        738.0 | 0   0   0   0   0   1   1
        820.0 | 1   0   0   0   0   1   1
        821.0 | 1   0   0   0   0   0   1
        821.1 | 1   0   0   0   1   0   1
        902.0 | 0   0   0   0   1   0   1
        984.0 | 1   0   0   0   1   0   1
        984.8 | 1   0   0   0   0   0   0
        985.4 | 1   0   0   0   0   1   0
       1066.0 | 0   0   0   0   0   1   0
       1148.0 | 1   0   0   0   0   1   0
       1149.0 | 1   0   0   0   0   0   0
       1149.1 | 1   0   0   0   0   0   1
       1230.0 | 0   0   0   0   0   0   1
       1312.0 | 1   0   0   0   0   0   1
       1312.8 | 1   0   0   0   0   0   0
       1394.0 | 0   0   0   0   0   0   0
       1476.0 | 1   0   0   0   0   0   0
       1477.1 | 1   0   0   0   1   0   0
       1558.0 | 0   0   0   0   1   0   0
       1640.0 | 1   0   0   0   1   0   0
       1641.4 | 1   0   0   0   1   1   0
       1722.0 | 0   0   0   0   1   1   0
       1804.0 | 1   0   0   0   1   1   0
       1804.8 | 1   0   0   0   0   1   0
       1805.1 | 1   0   0   0   0   1   1
       1886.0 | 0   0   0   0   0   1   1
       1927.0 | 0   0   1   0   0   1   1
       1968.0 | 1   0   1   0   0   1   1
       1969.0 | 1   0   1   0   0   0   1
       1969.1 | 1   0   1   0   1   0   1
       2050.0 | 0   0   1   0   1   0   1
       2132.0 | 1   0   1   0   1   0   1
       2214.0 | 0   0   1   0   1   0   1
       2296.0 | 1   0   1   0   1   0   1
       2296.8 | 1   0   1   0   0   0   0
       2297.4 | 1   0   1   0   0   1   0
       2378.0 | 0   0   1   0   0   1   0
       2460.0 | 1   0   1   0   0   1   0
       2542.0 | 0   0   1   0   0   1   0
       2624.0 | 1   0   1   0   0   1   0
       2625.0 | 1   0   1   0   0   0   0
       2625.1 | 1   0   1   0   0   0   1
       2706.0 | 0   0   1   0   0   0   1
       2788.0 | 1   0   1   0   0   0   1
       2870.0 | 0   0   1   0   0   0   1
       2952.0 | 1   0   1   0   0   0   1
       2952.8 | 1   0   1   0   0   0   0
       3034.0 | 0   0   1   0   0   0   0
       3116.0 | 1   0   1   0   0   0   0
       3198.0 | 0   0   1   0   0   0   0
       3280.0 | 1   0   1   0   0   0   0
       3281.1 | 1   0   1   0   1   0   0
       3362.0 | 0   0   1   0   1   0   0
       3444.0 | 1   0   1   0   1   0   0
       3526.0 | 0   0   1   0   1   0   0
       3608.0 | 1   0   1   0   1   0   0
       3609.4 | 1   0   1   0   1   1   0
       3690.0 | 0   0   1   0   1   1   0
       3731.0 | 0   0   0   0   1   1   0
       3772.0 | 1   0   0   0   1   1   0
       3854.0 | 0   0   0   0   1   1   0
       3936.0 | 1   0   0   0   1   1   0
       4018.0 | 0   0   0   0   1   1   0
       4100.0 | 1   0   0   0   1   1   0
       4182.0 | 0   0   0   0   1   1   0
       4264.0 | 1   0   0   0   1   1   0
       4346.0 | 0   0   0   0   1   1   0
       4428.0 | 1   0   0   0   1   1   0
       4510.0 | 0   0   0   0   1   1   0
       4592.0 | 1   0   0   0   1   1   0
       4674.0 | 0   0   0   0   1   1   0
       4756.0 | 1   0   0   0   1   1   0
       4838.0 | 0   0   0   0   1   1   0
       4920.0 | 1   0   0   0   1   1   0
       5002.0 | 0   0   0   0   1   1   0
       5084.0 | 1   0   0   0   1   1   0
       5166.0 | 0   0   0   0   1   1   0
       5248.0 | 1   0   0   0   1   1   0
       5330.0 | 0   0   0   0   1   1   0
       5371.0 | 0   0   0   1   1   1   0
       5412.0 | 1   0   0   1   1   1   0
       5494.0 | 0   0   0   1   1   1   0
       5535.0 | 0   0   0   0   1   1   0
       5576.0 | 1   0   0   0   1   1   0
       5576.8 | 1   0   0   0   0   1   0
       5577.1 | 1   0   0   0   0   1   1
       5658.0 | 0   0   0   0   0   1   1
       5740.0 | 1   0   0   0   0   1   1
       5741.0 | 1   0   0   0   0   0   1
       5741.1 | 1   0   0   0   1   0   1
       5822.0 | 0   0   0   0   1   0   1
       5904.0 | 1   0   0   0   1   0   1
       5904.8 | 1   0   0   0   0   0   0
       5905.4 | 1   0   0   0   0   1   0
