================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | a   a   a   a   a   a   a   d   d   d   d 
 in 1e-09 sec | d   d   d   d   d   d   d   a   a   a   a 
              | d   d   d   d   d   d   d   t   t   t   t 
              | r   r   r   r   r   r   r   a   a   a   a 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 6   6   6   6   6   6   6   3   3   3   3 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 0   0   0   0   0   0   0   0   0   0   0 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 6   5   4   3   2   1   0   3   2   1   0 
================================================================================
          0.0 | 0   0   0   0   0   0   0   0   0   0   0
        100.0 | 0   0   0   0   0   0   1   0   0   0   0
        101.6 | 0   0   0   0   0   0   1   0   0   0   1
        200.0 | 0   0   0   0   0   1   0   0   0   0   1
        201.5 | 0   0   0   0   0   1   0   0   1   0   1
        202.5 | 0   0   0   0   0   1   0   0   1   0   x
        202.6 | 0   0   0   0   0   1   0   0   1   0   0
        300.0 | 0   0   0   0   0   1   1   0   1   0   0
        301.5 | 0   0   0   0   0   1   1   0   1   0   1
        400.0 | 0   0   0   0   1   0   0   0   1   0   1
        402.3 | 0   0   0   0   1   0   0   0   1   0   0
        402.5 | 0   0   0   0   1   0   0   0   0   0   0
        500.0 | 0   0   0   0   1   0   1   0   0   0   0
        501.5 | 0   0   0   0   1   0   1   0   0   0   1
        600.0 | 0   0   0   0   1   1   0   0   0   0   1
        601.5 | 0   0   0   0   1   1   0   0   1   0   1
        602.5 | 0   0   0   0   1   1   0   0   1   0   0
        700.0 | 0   0   0   0   1   1   1   0   1   0   0
        701.5 | 0   0   0   0   1   1   1   0   1   0   1
        800.0 | 0   0   0   1   0   0   0   0   1   0   1
        802.5 | 0   0   0   1   0   0   0   0   1   0   0
        802.7 | 0   0   0   1   0   0   0   0   0   0   0
        900.0 | 0   0   0   1   0   0   1   0   0   0   0
        901.5 | 0   0   0   1   0   0   1   0   0   0   1
       1000.0 | 0   0   0   1   0   1   0   0   0   0   1
       1001.5 | 0   0   0   1   0   1   0   0   1   0   1
       1002.4 | 0   0   0   1   0   1   0   0   1   0   0
       1100.0 | 0   0   0   1   0   1   1   0   1   0   0
       1101.5 | 0   0   0   1   0   1   1   0   1   0   1
       1200.0 | 0   0   0   1   1   0   0   0   1   0   1
       1202.4 | 0   0   0   1   1   0   0   0   1   0   0
       1202.7 | 0   0   0   1   1   0   0   0   0   0   0
       1300.0 | 0   0   0   1   1   0   1   0   0   0   0
       1301.5 | 0   0   0   1   1   0   1   0   0   0   1
       1400.0 | 0   0   0   1   1   1   0   0   0   0   1
       1401.5 | 0   0   0   1   1   1   0   0   1   0   1
       1402.4 | 0   0   0   1   1   1   0   0   1   0   0
       1500.0 | 0   0   0   1   1   1   1   0   1   0   0
       1501.5 | 0   0   0   1   1   1   1   0   1   0   1
