================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   v   r   c   t   s   r 
 in 1e-09 sec | l   g   s   n   i   t   e 
              | k   a   t   t   m   a   a 
              |     _       _   e   r   d 
              |     c       r       t   y 
              |     l       s             
              |     k       t             
================================================================================
          0.0 | 1   1   1   0   x   x   x
          0.0 | 1   1   1   0   x   x   0
         82.0 | 0   1   1   0   x   x   0
        164.0 | 1   1   1   0   x   x   0
        246.0 | 0   1   1   0   x   x   0
        287.0 | 0   1   0   0   1   0   0
        328.0 | 1   1   0   0   1   0   0
        410.0 | 0   1   0   0   1   0   0
        451.0 | 0   1   0   0   1   1   0
        492.0 | 1   1   0   0   1   1   0
        574.0 | 0   1   0   0   1   1   0
        615.0 | 0   1   0   0   1   0   0
        656.0 | 1   1   0   0   1   0   0
        738.0 | 0   1   0   0   1   0   0
        800.0 | 0   0   0   0   1   0   0
        820.0 | 1   0   0   0   1   0   0
        902.0 | 0   0   0   0   1   0   0
        984.0 | 1   0   0   0   1   0   0
       1066.0 | 0   0   0   0   1   0   0
       1148.0 | 1   0   0   0   1   0   0
       1230.0 | 0   0   0   0   1   0   0
       1312.0 | 1   0   0   0   1   0   0
       1394.0 | 0   0   0   0   1   0   0
       1476.0 | 1   0   0   0   1   0   0
       1558.0 | 0   0   0   0   1   0   0
       1600.0 | 0   1   0   0   1   0   0
       1640.0 | 1   1   0   0   1   0   0
       1722.0 | 0   1   0   0   1   0   0
       1804.0 | 1   1   0   0   1   0   0
       1886.0 | 0   1   0   0   1   0   0
       1968.0 | 1   1   0   0   1   0   0
       2050.0 | 0   1   0   0   1   0   0
       2132.0 | 1   1   0   0   1   0   0
       2214.0 | 0   1   0   0   1   0   0
       2296.0 | 1   1   0   0   1   0   0
       2378.0 | 0   1   0   0   1   0   0
       2400.0 | 0   0   0   0   1   0   0
       2460.0 | 1   0   0   0   1   0   0
       2542.0 | 0   0   0   0   1   0   0
       2624.0 | 1   0   0   0   1   0   0
       2706.0 | 0   0   0   0   1   0   0
       2788.0 | 1   0   0   0   1   0   0
       2870.0 | 0   0   0   0   1   0   0
       2952.0 | 1   0   0   0   1   0   0
       3034.0 | 0   0   0   0   1   0   0
       3116.0 | 1   0   0   0   1   0   0
       3198.0 | 0   0   0   0   1   0   0
       3200.0 | 0   1   0   0   1   0   0
       3280.0 | 1   1   0   0   1   0   0
       3362.0 | 0   1   0   0   1   0   0
       3444.0 | 1   1   0   0   1   0   0
       3526.0 | 0   1   0   0   1   0   0
       3608.0 | 1   1   0   0   1   0   0
       3690.0 | 0   1   0   0   1   0   0
       3772.0 | 1   1   0   0   1   0   0
       3854.0 | 0   1   0   0   1   0   0
       3936.0 | 1   1   0   0   1   0   0
       4000.0 | 1   0   0   0   1   0   0
       4018.0 | 0   0   0   0   1   0   0
       4100.0 | 1   0   0   0   1   0   0
       4182.0 | 0   0   0   0   1   0   0
       4264.0 | 1   0   0   0   1   0   0
       4346.0 | 0   0   0   0   1   0   0
       4428.0 | 1   0   0   0   1   0   0
       4510.0 | 0   0   0   0   1   0   0
       4592.0 | 1   0   0   0   1   0   0
       4674.0 | 0   0   0   0   1   0   0
       4756.0 | 1   0   0   0   1   0   0
       4800.0 | 1   1   0   0   1   0   0
       4838.0 | 0   1   0   0   1   0   0
