================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | r   c   d   d   d   d   d   d   v   v   v   v   v   v 
 in 1e-09 sec | s   l   b   b   b   b   b   b   g   g   g   g   g   g 
              | t   k   g   g   g   g   g   g   a   a   a   a   a   a 
              |         _   _   _   _   _   _   _   _   _   _   _   _ 
              |         i   i   i   i   i   i   h   v   c   r   g   b 
              |         n   n   n   n   n   n   s   s   l             
              |         p   p   p   p   p   p   y   y   k             
              |         u   u   u   u   u   u   n   n                 
              |         t   t   t   t   t   t   c   c                 
              |         s   s   s   s   s   s                         
              |         _   _   _   _   _   _                         
              |         5   5   5   5   5   5                         
              |         _   _   _   _   _   _                         
              |         0   0   0   0   0   0                         
              |         _   _   _   _   _   _                         
              |         5   4   3   2   1   0                         
================================================================================
          0.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
         80.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
        160.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
        240.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
        320.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
        400.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
        480.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
        560.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
        640.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
        720.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
        800.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
        880.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
        960.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
       1040.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
       1120.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
       1200.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
       1280.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0
       1360.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0
