================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | d   a   a   a   a   w   w   w   w   w   r   r   c   r   d   d 
 in 1e-09 sec | o   d   d   d   d   e   e   e   e   e   e   e   l   s   i   o 
              | _   d   d   d   d   1   2   3   4   _   _   _   k   t       _ 
              | 2   r   r   r   r                   c   1   2               1 
              |     1   1   2   2                   o                         
              |     _   _   _   _                   m                         
              |     1   2   1   2                                             
================================================================================
          0.0 | x   x   x   x   x   x   x   x   x   x   x   x   1   1   x   x
          0.0 | x   x   x   x   x   x   x   x   x   x   x   x   1   1   x   x
         50.0 | x   x   x   x   x   x   x   x   x   x   x   x   0   1   x   x
         80.0 | x   0   0   0   0   1   1   1   1   0   1   1   0   0   0   x
         80.3 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   x
         81.2 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
        100.0 | 0   0   0   0   0   1   1   1   1   0   1   1   1   0   0   0
        150.0 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
        180.0 | 0   0   0   0   0   0   1   1   1   0   1   1   0   0   1   0
        200.0 | 0   0   0   0   0   0   1   1   1   0   1   1   1   0   1   0
        202.0 | 1   0   0   0   0   0   1   1   1   0   1   1   1   0   1   1
        250.0 | 1   0   0   0   0   0   1   1   1   0   1   1   0   0   1   1
        280.0 | 1   0   0   0   0   1   1   1   1   0   1   1   0   0   0   1
        300.0 | 1   0   0   0   0   1   1   1   1   0   1   1   1   0   0   1
        350.0 | 1   0   0   0   0   1   1   1   1   0   1   1   0   0   0   1
        380.0 | 1   0   0   0   0   0   1   1   1   0   1   1   0   0   0   1
        400.0 | 1   0   0   0   0   0   1   1   1   0   1   1   1   0   0   1
        402.0 | 0   0   0   0   0   0   1   1   1   0   1   1   1   0   0   0
        450.0 | 0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0
        480.0 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
        500.0 | 0   0   0   0   0   1   1   1   1   0   1   1   1   0   0   0
        550.0 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
        580.0 | 0   0   0   0   0   1   0   1   1   0   1   1   0   0   1   0
        600.0 | 0   0   0   0   0   1   0   1   1   0   1   1   1   0   1   0
        650.0 | 0   0   0   0   0   1   0   1   1   0   1   1   0   0   1   0
        680.0 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
        700.0 | 0   0   0   0   0   1   1   1   1   0   1   1   1   0   0   0
        750.0 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
