================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   d   d   d   w   a   a   a   a   a   a   a   a   a   a 
 in 1e-09 sec | l   s   i   o   o   e   d   d   d   d   d   d   d   d   d   d 
              | k   t       1   2       d   d   d   d   d   d   d   d   d   d 
              |                         r   r   r   r   r   r   r   r   r   r 
              |                         1   1   1   1   1   2   2   2   2   2 
              |                         _   _   _   _   _   _   _   _   _   _ 
              |                         4   4   4   4   4   4   4   4   4   4 
              |                         _   _   _   _   _   _   _   _   _   _ 
              |                         0   0   0   0   0   0   0   0   0   0 
              |                         _   _   _   _   _   _   _   _   _   _ 
              |                         4   3   2   1   0   4   3   2   1   0 
================================================================================
          0.0 | 1   1   x   x   x   0   x   x   x   x   x   x   x   x   x   x
          0.0 | 1   1   x   x   x   0   x   x   x   x   x   x   x   x   x   x
         10.0 | 0   1   x   x   x   0   x   x   x   x   x   x   x   x   x   x
         15.0 | 0   0   0   x   x   0   0   0   0   1   0   0   0   0   1   0
         17.8 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         20.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         30.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         40.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         50.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         60.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         70.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         80.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         90.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
         95.0 | 0   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        100.0 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        110.0 | 0   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        120.0 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        130.0 | 0   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        140.0 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        150.0 | 0   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        160.0 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        170.0 | 0   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        175.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        180.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        190.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        200.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        210.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        220.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        230.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        240.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        250.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        255.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        256.5 | 0   0   0   x   1   0   1   0   0   0   0   0   0   0   1   0
        256.7 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        260.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        270.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        280.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        290.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        300.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        310.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        320.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        330.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        335.0 | 0   0   1   0   1   1   1   0   0   0   0   0   0   0   1   0
        340.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   1   0
        342.9 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        350.0 | 0   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        360.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        370.0 | 0   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        380.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        390.0 | 0   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        400.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        410.0 | 0   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        415.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        420.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        430.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        440.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        450.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        460.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        470.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        480.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        490.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        495.0 | 0   1   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        500.0 | 1   1   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        502.4 | 1   1   0   x   1   0   1   0   0   0   0   0   0   0   1   0
        502.5 | 1   1   0   x   x   0   1   0   0   0   0   0   0   0   1   0
        502.6 | 1   1   0   0   x   0   1   0   0   0   0   0   0   0   1   0
        502.7 | 1   1   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        510.0 | 0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        520.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        530.0 | 0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        540.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        550.0 | 0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        560.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        570.0 | 0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        580.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        590.0 | 0   0   1   0   0   1   0   0   0   1   0   0   0   0   1   0
        600.0 | 1   0   1   0   0   1   0   0   0   1   0   0   0   0   1   0
        602.9 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
