================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | t   t   t   t   t   t   t   t   t   t   t   t   t 
 in 1e-09 sec | i   i   i   i   i   i   i   i   i   i   i   i   i 
              | m   m   m   m   m   m   m   m   m   m   m   m   m 
              | e   e   e   e   e   e   e   e   e   e   e   e   e 
              | r   r   r   r   r   r   r   r   r   r   r   r   r 
              | _   _   _   _   _   _   _   _   _   _   _   _   _ 
              | c   v   r   t   t   t   t   t   t   t   t   s   d 
              | l   g   s   i   i   i   i   i   i   i   i   t   o 
              | k   a   t   m   m   m   m   m   m   m   m   a   n 
              |     _       e   e   e   e   e   e   e   e   r   e 
              |     c       _   _   _   _   _   _   _   _   t     
              |     l       7   7   7   7   7   7   7   7         
              |     k       _   _   _   _   _   _   _   _         
              |             0   0   0   0   0   0   0   0         
              |             _   _   _   _   _   _   _   _         
              |             7   6   5   4   3   2   1   0         
================================================================================
          0.0 | 1   1   1   0   0   0   0   0   1   0   0   0   x
          0.0 | 1   1   1   0   0   0   0   0   1   0   0   0   1
         50.0 | 0   1   1   0   0   0   0   0   1   0   0   0   1
         80.0 | 0   0   1   0   0   0   0   0   1   0   0   0   1
        100.0 | 1   0   1   0   0   0   0   0   1   0   0   0   1
        103.7 | 1   0   1   0   0   0   0   0   1   0   0   0   0
        120.0 | 1   0   0   0   0   0   0   0   1   0   0   0   0
        150.0 | 0   0   0   0   0   0   0   0   1   0   0   0   0
        160.0 | 0   1   0   0   0   0   0   0   1   0   0   0   0
        200.0 | 1   1   0   0   0   0   0   0   1   0   0   0   0
        220.0 | 1   1   0   0   0   0   0   0   1   0   0   1   0
        240.0 | 1   0   0   0   0   0   0   0   1   0   0   1   0
        250.0 | 0   0   0   0   0   0   0   0   1   0   0   1   0
        300.0 | 1   0   0   0   0   0   0   0   1   0   0   1   0
        320.0 | 1   1   0   0   0   0   0   0   1   0   0   1   0
        350.0 | 0   1   0   0   0   0   0   0   1   0   0   1   0
        400.0 | 1   0   0   0   0   0   0   0   1   0   0   1   0
        450.0 | 0   0   0   0   0   0   0   0   1   0   0   1   0
        480.0 | 0   1   0   0   0   0   0   0   1   0   0   1   0
        500.0 | 1   1   0   0   0   0   0   0   1   0   0   1   0
        550.0 | 0   1   0   0   0   0   0   0   1   0   0   1   0
        560.0 | 0   0   0   0   0   0   0   0   1   0   0   1   0
        600.0 | 1   0   0   0   0   0   0   0   1   0   0   1   0
        640.0 | 1   1   0   0   0   0   0   0   1   0   0   1   0
